123I IODE IOBENGUANE  ,74 MBQ/ML ,INJ 
BORIBEL N10 ,100G ,TIS BT NSFP 
BORIBEL N10 DOS ,20 ,TIS SACH NSFP 
BORIBEL N11 ,90G ,TIS BT NSFP 
BORIBEL N11 DOS ,20 ,TIS SACH NSFP 
BORIBEL N11 GELU ,,NSFP 
BORIBEL N12 ,,TIS SACH NSFP 
BORIBEL N12 ,7G ,GRLS TB NSFP 
BORIBEL N12 GELU ,,NSFP 
BORIBEL N13 ,100G ,TIS BT NSFP 
BORIBEL N13 DOS ,20 ,TIS SACH NSFP 
BORIBEL N14 DOS ,20 ,TIS SACH NSFP 
BORIBEL N15 ,7G ,GRLS TB NSFP 
BORIBEL N17 DOS ,20 ,TIS SACH NSFP 
BORIBEL N2 ,100G ,TIS BT NSFP 
BORIBEL N2 DOS ,20 ,TIS SACH NSFP 
BORIBEL N22 ,7G ,GRLS TB NSFP 
BORIBEL N23 ,7G ,GRLS TB NSFP 
BORIBEL N3 ,,SUP NSFP 
BORIBEL N3 ,100G ,TIS BT NSFP 
BORIBEL N3 ,7G ,GRLS TB NSFP 
BORIBEL N3 DOS ,20 ,TIS SACH NSFP 
BORIBEL N31 ,7G ,GRLS TB NSFP 
BORIBEL N4 ,100G ,TIS BT NSFP 
BORIBEL N4 DOS ,20 ,TIS SACH NSFP 
BORIBEL N41 ,7G ,GRLS TB NSFP 
BORIBEL N48 ,7.5G ,GRLS TB NSFP 
BORIBEL N5 GELU ,,NSFP 
BORIBEL N6 ,80G ,TIS BT NSFP 
BORIBEL N6 DOS ,20 ,TIS SACH NSFP 
BORIBEL N7 ,,TIS SACH NSFP 
BORIBEL N7 ,100G ,TIS BT NSFP 
BORIBEL N7 GELU ,,NSFP 
BORIBEL N8 ,,TIS SACH NSFP 
BORIBEL N8 ,10ML ,BUV AMP NSFP 
BORIBEL N8 ,80G ,TIS BT NSFP 
BORIBEL N9 ,,TIS SACH 
BORIBEL N9 ,100G ,TIS BT NSFP 
BORIBEL N9 ,8 ,BUV AMP NSFP 
BORIBEL N9 GELU ,,NSFP 
BORIPHARM N1 ,,SUP NSFP 
BORIPHARM N18 ,7G ,GRLS TB NSFP 
BORIPHARM N23 ,7G ,GRLS TB 
BORIPHARM N3 ,,SUP NSFP 
BORIPHARM N3 ,7G ,GRLS TB 
BORIPHARM N31 ,7G ,GRLS TB 
BORIPHARM N41 ,7G ,GRLS TB 
BORIPHARM N48 ,,CPR NSFP 
BORIPHARM N48 ,7.5G ,CPR TB NSFP 
BOROCLARINE ,10ML ,COLLYRE FL NSFP 
BOROCLARINE ,15ML ,COLLYRE FL NSFP 
BOROSTYROL ,30ML ,SOL FL NSFP 
BOROSTYROL ,50G ,CREME TUBE NSFP 
BOROSTYROL EMUL LOC ,,NSFP 
BORTEZOMIB ,1MG ,PDR INJ 
BORTEZOMIB ,3.5MG ,PDR INJ 
BOSATRIA ,250MG ,INJ FL 
BOSENTAN ,125MG ,COMPRIME 
BOSENTAN ,62.5MG ,COMPRIME 
BOSENTAN DISPERSIBLE ,32MG ,CPR 
BOSULIF ,100MG ,CPR 
BOSULIF ,500MG ,CPR 
BOSUTINIB ,100MG ,CPR PELLICULE 
BOSUTINIB ,500MG ,CPR PELLICULE 
BOTHROFAV ,10ML ,SOL INJ 
BOTOX ALLERGAN ,100U ,PDR INJ 
BOTOX ALLERGAN ,100U ,PDR INJ NSFP 
BOTOX ALLERGAN ,200U ,PDR INJ 
BOTOX ALLERGAN ,50U ,PDR INJ 
BOTULISM ANTITOXIN BEHRING ,,SOL INJ 
BOULEAU SUPERDIET ,0.8G/15ML ,BUV NSFP 
BRADYL ,250MG ,CPR NSFP 
BREAKYL FILM ,1 200MCG ,ORODISP 
BREAKYL FILM ,200MCG ,ORODISP 
BREAKYL FILM ,400MCG ,ORODISP 
BREAKYL FILM ,600MCG ,ORODISP 
BREAKYL FILM ,800MCG ,ORODISP 
BRENTUXIMAB ,50MG ,PDR POUR PERF 
BRENTUXIMAB VED ,50MG ,PDR PERF NSFP 
BRETYLATE ,100MG/2ML ,SOL INJ NSFP 
BREVIBLOC ,100MG/10ML ,SOL INJ FL 10ML 
BREVIBLOC ,2.5G/10ML ,INJ 10ML NSFP 
BREVIBLOC POC ,10MG/ML ,SOL INJ 250ML 
BREVIMYTAL HIKMA ,500MG ,SOL INJ 
BREVOXYL ,4% ,CREME NSFP 
BREXIN ,20MG ,CPR 
BREXIN ,20MG ,CPR EFF 
BREXIN ,20MG ,PDR ORALE SACHET NSFP 
BRIAZIDE ,10MG/12.5MG ,CPR 
BRICANYL ,0.5MG/1ML ,SOL INJ 
BRICANYL ,2.5MG ,CPR NSFP 
BRICANYL ,5MG/2ML ,SOL INHAL 
BRICANYL LP ,5MG ,CPR 
BRICANYL MICROG ,250 ,SUSP INHAL NSFP 
BRICANYL TURBUHALER ,500 MCG/DOS ,NSFP 
BRICANYL TURBUHALER ,500MCG/DOSE ,PDR 
BRIDES PIL ,,NSFP 
BRIDES SELS ,24 ,PDR SACH NSFP 
BRIDION ,100MG/ML ,SOL INJ FL 2ML 
BRIDION ,100MG/ML ,SOL INJ FL 5ML 
BRIEM ,10MG ,CPR 
BRIEM ,5MG ,CPR 
BRIETAL ,500MG ,PDR INJ NSFP 
BRIETAL  ,500MG ,PDR INJ NSFP 
BRILIQUE ,90MG ,CPR 
BRILIVO ,1 000MG ,CPR 
BRILIVO ,1000MG ,CPR EFF 
BRILIVO ,500MG ,CPR 
BRIMONIDINE ,0.2% ,COLLYRE 
BRIMONIDINE ,3.3MG/G ,GEL 
BRIMONIDINE % ,0.15 ,COLLYRE 
BRIMONIDINE CHV ,0.2% ,COLLYRE 
BRIMONIDINE EG ,0.2% ,COLLYRE 
BRIMONIDINE GNR ,0.2% ,COLLYRE NSFP 
BRIMONIDINE MYL ,0.2% ,COLLYRE 
BRIMONIDINE QUA ,0.2% ,COLLYRE NSFP 
BRIMONIDINE RTP ,0.2% ,COLLYRE NSFP 
BRIMONIDINE SDZ ,0.2% ,COLLYRE 
BRIMONIDINE TVC ,0.2% ,COLLYRE 
BRINALDIX ,20MG ,CPR NSFP 
BRINZOLAMIDE ,10MG/ML ,COLLYRE 
BRINZOLAMIDE + TIMOLOL ,1% 0.5% ,COLLY 
BRISTAMOX ,1G ,CPR NSFP 
BRISTAMOX ,1G ,PDR BUV CPR NSFP 
BRISTAMOX ,1G ,PDR ET SOL INJ NSFP 
BRISTAMOX ,500MG ,PDR ET SOL INJ NSFP 
BRISTAMOX Gé ,125MG/5ML ,PDR FL NSFP 
BRISTAMOX Gé ,250MG/5ML ,PDR FL NSFP 
BRISTAMOX Gé ,500MG ,GELULE NSFP 
BRISTAMOX Gé ,500MG/5ML ,PDR FL NSFP 
BRISTOPEN ,250MG ,CPR NSFP 
BRISTOPEN ,250MG/2ML ,PDR+SOL INJ NSFP 
BRISTOPEN ,250MG/5ML ,PDR ORALE NSFP 
BRISTOPEN ,500MG ,GELULE NSFP 
BRISTOPEN ,500MG/2ML ,PDR+SOL INJ NSFP 
BRISTOPEN IV ,1G/5ML ,PDR ET SOL INJ 
BRITANE ,2% ,GEL NSFP 
BRITANE ,2% ,LOTION NSFP 
BRITANE ,2% ,PDR NSFP 
BROLENE ,,POMMADE OPH NSFP 
BROLENE ,0.10% ,COLLYRE FL 10ML 
BROLITENE ,200MG ,CPR NSFP 
BROLITENE ,30MG/5ML ,SOL INJ NSFP 
BROMATE DE POTASSIUM ,850 MG ,CPR 
BROMAZEPAM ,6MG ,COMPRIME 
BROMAZEPAM  ,1.5MG ,CPR 
BROMAZEPAM ARW ,1.5MG ,CPR 
BROMAZEPAM ARW ,6MG ,CPR 
BROMAZEPAM BAY ,6MG ,CPR NSFP 
BROMAZEPAM BGA ,6MG ,CPR 
BROMAZEPAM CRT ,6MG ,CPR 
BROMAZEPAM EG ,6MG ,CPR 
BROMAZEPAM EXPANPHARM ,6MG ,CPR NSFP 
BROMAZEPAM GNR ,6MG ,CPR NSFP 
BROMAZEPAM HEXAL ,6MG ,CPR NC 
BROMAZEPAM IRX ,6MG ,CPR NSFP 
BROMAZEPAM ISD ,6MG ,CPR 
BROMAZEPAM IVX ,6MG ,CPR NSFP 
BROMAZEPAM MSD ,6MG ,CPR NSFP 
BROMAZEPAM MYL ,6MG ,CPR 
BROMAZEPAM QUA ,6MG ,CPR NSFP 
BROMAZEPAM RPG ,3MG ,CPR NSFP 
BROMAZEPAM RPG ,6MG ,CPR NSFP 
BROMAZEPAM RTP ,6MG ,CPR 
BROMAZEPAM SDZ ,6MG ,CPR 
BROMAZEPAM SUBSTIPHARM ,6MG ,CPR NSFP 
BROMAZEPAM TVC ,6MG ,CPR 
BROMAZEPAM TVP ,6MG ,CPR NSFP 
BROMAZEPAM ZTV ,6MG ,CPR 
BROMAZEPAM ZYD ,6MG ,CPR 
BROMELAINE ,900nK ,COMPRIME 
BROMESULFONEPHTALEINE ,0.3G/10ML ,NSFP 
BROMFENAC FL5ML ,0.9MG/ML ,COLLY 
BROMHEXINE ,8MG ,COMPRIME 
BROMOCARBONE ,,CPR NSFP 
BROMOCODYL ,,SIROP NSFP 
BROMOCRIPTINE ,10 MG ,GELULE 
BROMOCRIPTINE ,2.5MG ,CPR 
BROMOCRIPTINE ,5 MG ,GELULE 
BROMOCRIPTINE INH LACTEE ,2.5MG ,CPR 
BROMOCRIPTINE WTP ,10 MG ,GELULE NSFP 
BROMOCRIPTINE WTP ,5 MG ,GELULE NSFP 
BROMOCRIPTINE ZEN ,10 MG ,GELULE 
BROMOCRIPTINE ZEN ,2.5 MG. ,CPR 
BROMOCRIPTINE ZEN ,5 MG ,GELULE 
BROMOCRIPTINE ZEN INH LACT ,2.5MG ,CPR 
BROMOSULFOPHTALEINE  ,500MG/10ML ,NSFP 
BROMPHENIRAMINE ,12MG ,GELULE 
BROMPHENIRAMINE ,2MG/5ML ,SIROP 
BROMSULFONEPHTALEINE SERB ,,NSFP 
BRONCALENE ,,ENF SIROP 
BRONCALENE AD ,,SIROP 
BRONCALENE AD SANS SUCRE ,,SIROP 
BRONCALENE NR ,,SIROP NSFP 
BRONCATHIOL EXPECT AD ,5% ,SOL BUV 
BRONCATHIOL NR ,2% ,ENF SOL BUV 
BRONCHALENE ,,ENF SIROP NSFP 
BRONCHALENE AD ,,SIROP NSFP 
BRONCHALENE NR ,,SIROP NSFP 
BRONCHALENE SS SUCRE AD ,,SIROP NSFP 
BRONCHATHIOL ,5% ,SOL BUV NSFP 
BRONCHATHIOL NR ,2% ,ENF SOL BUV NSFP 
BRONCHEX ,,SIROP NSFP 
BRONCHEX SUCREE ,,PATE NSFP 
BRONCHO LACTOL AD ,,ENF EMULSION NSFP 
BRONCHO LACTOL BB ,,EMULSION NSFP 
BRONCHOCYST ,2% ,ENF SIROP NSFP 
BRONCHOCYST AD ,5% ,SIROP NSFP 
BRONCHODERMINE ,,ENF SUPPO 
BRONCHODERMINE ,,POMMADE 
BRONCHODERMINE AD ,,SUPPO 
BRONCHODERMINE NR ,,SUPPO NSFP 
BRONCHODUAL ,50/20MICROG ,INHAL NSFP 
BRONCHODUAL GELULE+INH ,100/40 ,NSFP 
BRONCHODUAL INH ,100/40 ,EN GELULE 
BRONCHODUAL MICROG ,50/20 ,INHAL 
BRONCHOIDS ENR ,,CPR NSFP 
BRONCHOKOD ,750MG ,GRANULES NSFP 
BRONCHOKOD AD ,5% ,SIROP 300ML NSFP 
BRONCHOKOD AD ,5% ,SOL BUV 125ML NSFP 
BRONCHOKOD AD ,5% ,SOL BUV 250ML 
BRONCHOKOD AD ,5% ,SOL BUV 300ML 
BRONCHOKOD AD Gé ,5% ,SIROP 125ML NSFP 
BRONCHOKOD AD Gé ,5% ,SIROP 250ML 
BRONCHOKOD AD SAC ,750MG/10ML ,SOL BUV 
BRONCHOKOD NR ,2% ,ENF SIROP 
BRONCHOKOD NR Gé ,2% ,ENF SOL BUV 
BRONCHORECTINE AU CITRAL ,,ENF SUPPO 
BRONCHORECTINE AU CITRAL AD ,,SUPPO 
BRONCHORECTINE CITRAL NR ,,SUPPO NSFP 
BRONCHOSPRAY ,,SOL NSFP 
BRONCHOTULISAN EUCALY ,,ENF SUPPO NSFP 
BRONCHOTULISAN EUCALY AD ,,SUPPO NSFP 
BRONCHY ,,ENF SIROP NSFP 
BRONCHY AD ,11.7MG/15ML ,SIROP NSFP 
BRONCHY NR ,,SIROP NSFP 
BRONCHYDEX AD ,15MG/5ML ,SIROP NSFP 
BRONCHYDEX SS SUCRE ,15MG ,SIROP NSFP 
BRONCHYTEINE AD ,5% ,SIROP NSFP 
BRONCHYTEINE NR ,2% ,ENF SIROP NSFP 
BRONCHYTUC ,15MG/5ML ,SIROP NSFP 
BRONCHYTUC SS SUCRE ,15MG/5ML ,NSFP 
BRONCOCLAR ,2% ,ENF SIROP NSFP 
BRONCOCLAR ,200MG ,GRANULES SACH NSFP 
BRONCOCLAR AD ,5% ,SIROP 
BRONCOL ,,PATE NSFP 
BRONCORINOL ,,COLLUTOIRE NSFP 
BRONCORINOL AD EXPECT ,5% ,BUV NSFP 
BRONCORINOL AD TOUX SECHE ,,SIROP NSFP 
BRONCORINOL AD TX SECHE ,,SIROP NSFP 
BRONCORINOL ETATS GRIPPAUX ,,PDR NSFP 
BRONCORINOL MAUX DE GORGE ,,CPR NSFP 
BRONCORINOL RHINITES ,,SOL NASALE NSFP 
BRONCORINOL RHUME ,,GELULE NSFP 
BRONCORINOL TX SECHE ,,ENF SIROP NSFP 
BRONILIDE ,0.25MG ,SUSP INHAL NSFP 
BRONKIREX AD SS ,5% ,SIROP NSFP 
BRONKIREX NR SS Gé ,2% ,ENF SIROP NSFP 
BRONPAX ,,ENF SIROP NSFP 
BRONPAX A LA TYROTHRICINE ,,PATE NSFP 
BRONPAX AD ,,SIROP NSFP 
BROPARESTROL ,10% ,POMMADE NSFP 
BRUFEN ,200MG ,CPR NSFP 
BRUFEN ,400MG ,CPR 
BRUFEN ,400MG ,CPR NSFP 
BRUFEN ,500MG ,SUPPO NSFP 
BRUFEN ,600MG ,CPR NSFP 
BRUFEN ,800MG ,CPR NSFP 
BRUFEN GLE EFFV ,600MG ,SACH NSFP 
BRUFEN LP ,800MG ,CPR NSFP 
BRULEX ,30G ,POMMADE TUBE 
BRULEX ,30G ,POMMADE TUBE NSFP 
BRULEX ,55G ,POMMADE TUBE NSFP 
BRYONIA OPOD BOIRON LIN ,125ML ,
BSS ,15ML ,SOL OPH FL NSFP 
BSS ,250ML ,SOL OPH FL NSFP 
BSS ,500ML ,SOL OPH FL NSFP 
BSS F + F ,240ML ,COMPOSE SOL OPH 10ML 
BSS F + F ,480ML ,COMPOSE SOL OPH 20ML 
BSS POC ,,SOL OPH NSFP 
BUCANEST ADR CART ,1/100 000 1.7ML ,
BUCANEST ADR CART ,1/200 000 1.7ML ,
BUCANEST SS VASOCONSTR ,4% ,INJ NSFP 
BUCASEPT  BDB ,150ML ,SOL FL NSFP 
BUCASEPT BAIN DE BOUCHE ,,SOL NSFP 
BUCASEPT PR BDB ,150ML ,SOL FL NSFP 
BUCCAWALTER ,,SOL NSFP 
BUCCOBET ,0.1MG ,CPR 
BUCCOLAM ,10MG ,SOL BUCCALE 
BUCCOLAM ,2.5MG ,SOL BUCCALE 
BUCCOLAM ,5MG ,SOL BUCCALE 
BUCCOLAM ,7.5MG ,SOL BUCCALE 
BUCCOSOIN PR BDB ,200ML ,SOL FL 
BUCCOSOIN PR BDB ,500ML ,SOL FL 
BUCCOTHYMOL PR BDB ,,SOL NSFP 
BUDESONIDE ,0.5MG/2ML ,SUSP INHAL 
BUDESONIDE ,1MG/2ML ,SUSP INHAL 
BUDESONIDE ,200MICROG ,PDR INHAL 
BUDESONIDE ,3 MG ,GELULE 
BUDESONIDE ,400MICROG ,PDR INHAL 
BUDESONIDE ARW INH ,0.5MG/2ML ,SUSP 
BUDESONIDE ARW INH ,1MG/2ML ,SUSP 
BUDESONIDE BGA INH ,0.5MG/2ML ,SUSP 
BUDESONIDE BGA INH ,1MG/2ML ,SUSP 
BUDESONIDE EG INH ,0.5MG/2ML ,SUSP 
BUDESONIDE EG INH ,1MG/2ML ,SUSP 
BUDESONIDE EVO INH ,0.5MG/2ML ,SUSP 
BUDESONIDE EVO INH ,1MG/2ML ,SUSP 
BUDESONIDE ISD INH ,1MG/2ML ,SUSP 
BUDESONIDE MICG FOMETEROL INH ,100/6 ,
BUDESONIDE MICROG ,100 ,PDR INHALATION 
BUDESONIDE MICROG ,64 ,SUSP NASALE 
BUDESONIDE MICROG FORM INH ,200/6 ,
BUDESONIDE MICROG FORMO INH ,400/12 ,
BUDESONIDE MYL INH ,0.5MG/2ML ,SUSP 
BUDESONIDE MYL INH ,1MG/2ML ,SUSP 
BUDESONIDE PHR INH ,0.5MG/2ML ,SUSP 
BUDESONIDE PHR INH ,1MG/2ML ,SUSP 
BUDESONIDE SDZ INH ,0.5MG/2ML ,SUSP 
BUDESONIDE SDZ INH ,1MG/2ML ,SUSP 
BUDESONIDE TVC ,1MG/2ML ,SUSP 
BUDESONIDE TVC INH ,0.5MG/2ML ,SUSP 
BUDESONIDE TVC MICROG ,200 ,PDR NC 
BUDESONIDE TVC MICROG ,400 ,PDR NC 
BUFAL ,5% ,CREME NSFP 
BUFLOMEDIL ACT ,150MG ,CPR NSFP 
BUFLOMEDIL ARW ,150MG ,CPR NSFP 
BUFLOMEDIL ARW ,300MG ,CPR NSFP 
BUFLOMEDIL BAY ,150MG ,CPR NSFP 
BUFLOMEDIL BAY ,300MG ,CPR NSFP 
BUFLOMEDIL BGA ,150MG ,CPR NSFP 
BUFLOMEDIL BGA ,300MG ,CPR NSFP 
BUFLOMEDIL CRT ,150MG ,CPR NSFP 
BUFLOMEDIL EG ,150MG ,CPR NSFP 
BUFLOMEDIL EG ,300MG ,CPR NSFP 
BUFLOMEDIL EG CP ,150MG ,NSFP 
BUFLOMEDIL EG LABO ,300MG ,CPR NC 
BUFLOMEDIL EG PEL ,300MG ,CPR NSFP 
BUFLOMEDIL GGA ,150MG ,CPR NSFP 
BUFLOMEDIL GGA ,300MG ,CPR NSFP 
BUFLOMEDIL GNR ,150MG ,CPR NSFP 
BUFLOMEDIL GNR ,300MG ,CPR NSFP 
BUFLOMEDIL IRX ,150MG ,CPR NSFP 
BUFLOMEDIL IRX ,300MG ,CPR NSFP 
BUFLOMEDIL LAFON ,150MG ,CPR NSFP 
BUFLOMEDIL LAFON ,300MG ,CPR NSFP 
BUFLOMEDIL MKG ,300MG ,CPR NSFP 
BUFLOMEDIL MYL ,150MG ,CPR NSFP 
BUFLOMEDIL QUA ,150MG ,CPR NSFP 
BUFLOMEDIL QUA ,300MG ,CPR NSFP 
BUFLOMEDIL RPG ,150MG ,CPR NSFP 
BUFLOMEDIL RPG ,300MG ,CPR NSFP 
BUFLOMEDIL RTP ,150MG ,CPR NSFP 
BUFLOMEDIL RTP ,400MG/40ML ,INJ NSFP 
BUFLOMEDIL SDZ ,150MG ,CPR NSFP 
BUFLOMEDIL SDZ ,300MG ,CPR NSFP 
BUFLOMEDIL TVC ,150MG ,CPR NSFP 
BUFLOMEDIL TVC ,300MG ,CPR NSFP 
BUFLOMEDIL TVC CP ,150MG ,NSFP 
BUFLOMEDIL TVC PEL ,300MG ,CPR NSFP 
BUFLOMEDIL WTR ,150MG ,CPR NSFP 
BUFLOMEDIL WTR ,300MG ,CPR NC 
BUFLOMEDIL ZYD ,150MG ,CPR NSFP 
BUFLOMEDIL ZYD ,300MG ,CPR NSFP 
BUMETANIDE ,1MG ,COMPRIME 
BUMETANIDE ,2MG/4ML ,SOL INJECTABLE 
BUMETANIDE ,5MG ,COMPRIME 
BUPIFORAN ,0.25% ,SOL INJ 10ML NSFP 
BUPIFORAN ,0.25% ,SOL INJ 20ML NSFP 
BUPIFORAN ,0.50% ,SOL INJ 10ML NSFP 
BUPIFORAN ,0.50% ,SOL INJ 20ML NSFP 
BUPIVACAINE ,2.5MG/ML ,SOL INJ 
BUPIVACAINE ,5MG/ML ,SOL INJ 
BUPIVACAINE ADR ,2.5MG/ML ,INJ 
BUPIVACAINE ADR ,5MG/ML ,INJ 20ML 
BUPIVACAINE AGT ,0.25% ,INJ 10ML NSFP 
BUPIVACAINE AGT ,0.25% ,INJ 20ML NSFP 
BUPIVACAINE AGT ,0.25% ,INJ 5ML NSFP 
BUPIVACAINE AGT ,0.50% ,INJ 20ML NSFP 
BUPIVACAINE AGT ,2.5MG/ML ,INJ 20ML 
BUPIVACAINE AGT ,5MG/ML ,INJ 20ML 
BUPIVACAINE AGT ADR ,0.25% 10ML ,NSFP 
BUPIVACAINE AGT ADR ,0.25% 20ML ,NSFP 
BUPIVACAINE AGT ADR ,0.50% ,INJ NSFP 
BUPIVACAINE AGT ADR ,2.5MG/ML ,INJ 
BUPIVACAINE AGT ADR ,5MG/ML ,INJ 20ML 
BUPIVACAINE AGT RACHI ,5MG/ML ,INJ 4ML 
BUPIVACAINE BBM ,2.5MG/ML ,INJ 20ML 
BUPIVACAINE BBM ,5MG/ML ,INJ 20ML NSFP 
BUPIVACAINE DKT ,0.25% ,INJ 10ML NSFP 
BUPIVACAINE DKT ,0.25% ,INJ 20ML NSFP 
BUPIVACAINE DKT ,0.50% ,INJ 10ML NSFP 
BUPIVACAINE DKT ,0.50% ,INJ 20ML NSFP 
BUPIVACAINE MKG ADR  ,0.25% ,INJ NSFP 
BUPIVACAINE MKG ADR  ,0.50% ,INJ NSFP 
BUPIVACAINE MYL ,2.5MG/ML ,INJ 20ML 
BUPIVACAINE MYL ,5MG/ML ,INJ 20ML 
BUPIVACAINE MYL RACHI ,5MG/ML ,INJ 4ML 
BUPIVACAINE QUA ADR ,0.25% 10ML ,NSFP 
BUPIVACAINE QUA ADR ,0.50% 10ML ,NSFP 
BUPIVACAINE RACHIANESTHESIE ,5MG/ML ,
BUPRENORPHINE ,0.2MG ,CPR SUBLINGUAL 
BUPRENORPHINE ,0.3MG/ML ,SOL INJ 
BUPRENORPHINE + NALOXONE ,8MG/2MG ,CPR 
BUPRENORPHINE ARG ,0.4MG ,CPR NC 
BUPRENORPHINE ARG ,2MG ,CPR NC 
BUPRENORPHINE ARG ,8MG ,CPR NC 
BUPRENORPHINE ARW ,0.4MG ,CPR 
BUPRENORPHINE ARW ,1MG ,CPR 
BUPRENORPHINE ARW ,2MG ,CPR 
BUPRENORPHINE ARW ,4MG ,CPR 
BUPRENORPHINE ARW ,6MG ,CPR 
BUPRENORPHINE ARW ,8MG ,CPR 
BUPRENORPHINE BGA ,0.4MG ,CPR 
BUPRENORPHINE BGA ,2MG ,CPR 
BUPRENORPHINE BGA ,8MG ,CPR 
BUPRENORPHINE EG ,0.4MG ,CPR 
BUPRENORPHINE EG ,2MG ,CPR 
BUPRENORPHINE EG ,8MG ,CPR 
BUPRENORPHINE MYL ,0.4MG ,CPR 
BUPRENORPHINE MYL ,1MG ,CPR 
BUPRENORPHINE MYL ,2MG ,CPR 
BUPRENORPHINE MYL ,4MG ,CPR 
BUPRENORPHINE MYL ,6MG ,CPR 
BUPRENORPHINE MYL ,8MG ,CPR 
BUPRENORPHINE SDZ ,0.4MG ,CPR 
BUPRENORPHINE SDZ ,1MG ,CPR 
BUPRENORPHINE SDZ ,2MG ,CPR 
BUPRENORPHINE SDZ ,4MG ,CPR 
BUPRENORPHINE SDZ ,6MG ,CPR 
BUPRENORPHINE SDZ ,8MG ,CPR 
BUPRENORPHINE SUB ,0.4 MG ,COMPRIME 
BUPRENORPHINE SUB ,1 MG ,COMPRIME 
BUPRENORPHINE SUB ,2 MG ,COMPRIME 
BUPRENORPHINE SUB ,4 MG ,COMPRIME 
BUPRENORPHINE SUB ,6 MG ,COMPRIME 
BUPRENORPHINE SUB ,8 MG ,COMPRIME 
BUPRENORPHINE TVC ,0.4MG ,CPR 
BUPRENORPHINE TVC ,1MG ,CPR 
BUPRENORPHINE TVC ,2MG ,CPR 
BUPRENORPHINE TVC ,4MG ,CPR 
BUPRENORPHINE TVC ,6MG ,CPR 
BUPRENORPHINE TVC ,8MG ,CPR 
BUPRENORPHNE  NALOXONE ,2MG/0.5MG ,CPR 
BUPROPION LP ,150MG ,COMPRIME 
BURINEX ,0.5MG/2ML ,SOL INJ NSFP 
BURINEX ,1MG ,CPR 
BURINEX ,2MG/4ML ,SOL INJ 
BURINEX ,5MG ,CPR 
BURINEX ,5MG/20ML ,SOL INJ NSFP 
BUSCOPAN ,10MG ,CPR NSFP 
BUSCOPAN ,10MG ,SUPPO NSFP 
BUSCOPAN ,20MG/1ML ,SOL INJ NSFP 
BUSERELINE ,1MG/ML ,SOL INJECTABLE 
BUSERELINE ,1MG/ML ,SOLUTION NASALE 
BUSERELINE ,6.3MG ,IMPLANT 
BUSILVEX ,6MG/ML ,SOL INJ FL 10ML 
BUSILVEX ,6MG/ML ,SOL INJ FL 10ML NSFP 
BUSPAR ,10MG ,CPR NSFP 
BUSPIRONE ,10 MG ,COMPRIME 
BUSPIRONE GGA ,10MG ,CPR NSFP 
BUSPIRONE IVX ,10MG ,CPR NSFP 
BUSPIRONE MKG GEN ,10MG ,CPR NC 
BUSPIRONE MYL ,10MG ,CPR 
BUSPIRONE SDZ ,10MG ,CPR 
BUSPIRONE TVC ,10MG ,CPR NSFP 
BUSULFAN ,2MG ,CPR 
BUSULFAN ,6MG ,SOL INJ 
BUTAZOLIDINE ,100MG ,CPR NSFP 
BUTAZOLIDINE ,250MG ,SUPPO NSFP 
BUTIX ,2% ,GEL 
BUTIX ,5MG ,CPR NSFP 
BUTIX  ,,GEL NSFP 
BUTOBARBITAL DIPHARMA ,200MG ,NSFP 
BUTOCONAZOLE ,100MG ,OVULE 
BUTYLSCOPOLAMINE ,20MG/ML ,SOL INJ 
BUVENTOL EASY MICROG ,100 ,PDR NSFP 
BUXEPTAN ,,SOL NSFP 
BYETTA ,10MICROG ,SOL INJ 
BYETTA ,5MICROG ,SOL INJ 
C P P A HUMAIN CNTS ,,PDR+SOL INJ NSFP 
C1 ESTERASE INH AOH ,500U ,INJ 
C1 ESTERASE INH AOH ,500U ,INJ 1/2 
CA C SDZ ,1000 ,CPR EFF NSFP 
CA NA ,MG ,PDR SACH 240 NSFP 
CA POLYSTYRENE SULF ,,PDR SUSP 
CABAZITAXEL ,10 MG/ML ,SOL INJ 
CABAZITAXEL ,60 MG ,SOL INJ FL 
CABERGOLINE ,0.5MG ,CPR 
CABERGOLINE SDZ ,0.5MG ,CPR 
CABERGOLINE TVC ,0.5MG ,CPR 
CACIT ,1000MG ,CPR EFF 
CACIT ,500MG ,CPR EFF 
CACIT VIT D3 ,1000MG/880UI ,GRANULES 
CACIT VIT D3 ,500MG/440UI ,CPR 
CACIT VIT D3 GRLES ,500MG/440UI ,NC 
CADE HUILE APPLIC ,35% ,SOL CUT 
CADENS ,100UI/1ML ,SOL INJ 
CADENS ,50UI/1ML ,SOL INJ NSFP 
CADENS Gé ,80UI/0.8ML ,SOL INJ NSFP 
CADITAR ,35% ,SOL 
CADUET ,10MG/10MG ,CPR 
CADUET ,5MG/10MG ,CPR 
CAELYX ,2MG/ML ,SUSP INJ FL 10ML 
CAELYX ,2MG/ML ,SUSP INJ FL 25ML 
CAFEINE ,5% ,GEL TUBE 
CAFEINE AGT ,250MG/ML ,SOL INJ NSFP 
CAFEINE CPF ,25MG/ML ,INJ BUV AMP 2ML 
CAFEINE DEL ,250MG/1ML ,INJ NSFP 
CAFEINE LAV ,10% ,SOL INJ AMP NSFP 
CAFEINE LAV ,25% ,SOL INJ AMP NSFP 
CAFEINE MRM ,100MG/1ML ,SOL INJ NSFP 
CAFEINE MRM ,250MG/1ML ,SOL INJ NSFP 
